TIMESTAMP (s),TOF (usec),DIST (m),TIME1,CLOCK_COUNT1,TIME2,CAL1,CAL2
1617912418.784442,1.233154E+02,1.848451E+04,342,1973,981,1686,15515
1617912418.785133,6.462655E+01,9.687276E+03,649,1034,993,1681,15573
1617912418.788937,6.462936E+01,9.687697E+03,24,1034,993,1681,15573
1617912418.789382,6.462936E+01,9.687697E+03,24,1034,993,1681,15573
1617912418.789829,6.462936E+01,9.687697E+03,24,1034,993,1681,15573
1617912418.790497,6.600889E-03,9.894484E-01,2,0,192,0,1799
1617912418.791067,6.010283E-03,9.009188E-01,19,0,192,0,1799
1617912418.791563,1.632852E-03,2.447583E-01,145,0,192,0,1799
1617912418.792164,7.112069E-02,1.066072E+01,33,0,0,1987,2016
1617912418.792552,7.112069E-02,1.066072E+01,33,0,0,1987,2016
1617912418.792950,7.112069E-02,1.066072E+01,33,0,0,1987,2016
1617912418.793481,7.112069E-02,1.066072E+01,33,0,0,1987,2016
1617912418.794671,7.112069E-02,1.066072E+01,33,0,0,1987,2016
1617912418.795110,7.112069E-02,1.066072E+01,33,0,0,1987,2016
1617912418.796883,1.210080E-02,1.813864E+00,4,0,392,12,2016
1617912418.799756,1.210080E-02,1.813864E+00,4,0,392,12,2016
1617912418.800205,1.210080E-02,1.813864E+00,4,0,392,12,2016
1617912418.800788,5.728543E-01,8.586870E+01,60,9,392,12,2016
1617912418.801175,5.728543E-01,8.586870E+01,60,9,392,12,2016
1617912418.801599,5.747255E-01,8.614919E+01,0,9,392,12,2016
1617912418.801980,5.747255E-01,8.614919E+01,0,9,392,12,2016
1617912418.802358,5.747255E-01,8.614919E+01,0,9,392,12,2016
1617912418.802790,5.702345E-01,8.547601E+01,144,9,392,12,2016
1617912418.803279,1.213199E-02,1.818539E+00,3,0,392,12,2016
1617912418.803762,1.197605E-02,1.795164E+00,8,0,392,12,2016
1617912418.807890,2.423469E-02,3.632689E+00,992,0,384,448,2016
1617912418.808386,1.020408E-02,1.529553E+00,128,0,384,448,2016
1617912418.808811,1.020408E-02,1.529553E+00,128,0,384,448,2016
1617912418.809271,2.551020E-02,3.823883E+00,1024,0,384,448,2016
1617912418.809715,1.020408E-02,1.529553E+00,128,0,384,448,2016
1617912418.810108,1.020408E-02,1.529553E+00,128,0,384,448,2016
1617912418.810487,1.020408E-02,1.529553E+00,128,0,384,448,2016
1617912418.811029,1.020408E-02,1.529553E+00,128,0,384,448,2016
1617912418.811403,1.020408E-02,1.529553E+00,128,0,384,448,2016
1617912418.811826,5.616231E-02,8.418518E+00,1793,0,384,448,2016
1617912418.812190,5.616231E-02,8.418518E+00,1793,0,384,448,2016
1617912418.812556,5.616231E-02,8.418518E+00,1793,0,384,448,2016
1617912418.812921,5.616231E-02,8.418518E+00,1793,0,384,448,2016
1617912418.813285,5.616231E-02,8.418518E+00,1793,0,384,448,2016
1617912418.813703,4.663584E-03,6.990537E-01,267,0,384,448,2016
1617912418.814071,4.663584E-03,6.990537E-01,267,0,384,448,2016
1617912418.814433,4.663584E-03,6.990537E-01,267,0,384,448,2016
1617912418.814794,4.663584E-03,6.990537E-01,267,0,384,448,2016
1617912418.815153,4.663584E-03,6.990537E-01,267,0,384,448,2016
1617912418.820507,2.551020E-03,3.823883E-01,448,0,384,448,2016
1617912418.821422,9.646046E-03,1.445906E+00,142,0,384,448,2016
1617912418.822301,1.419005E-02,2.127035E+00,28,0,384,448,2016
1617912418.823120,1.419005E-02,2.127035E+00,28,0,384,448,2016
1617912418.823899,1.419005E-02,2.127035E+00,28,0,384,448,2016
1617912418.824797,5.361129E-02,8.036130E+00,1729,0,384,448,2016
1617912418.825688,5.361129E-02,8.036130E+00,1729,0,384,448,2016
1617912418.826471,5.361129E-02,8.036130E+00,1729,0,384,448,2016
1617912418.827255,1.470823E-02,2.204708E+00,15,0,384,448,2016
1617912418.828174,1.470823E-02,2.204708E+00,15,0,384,448,2016
1617912418.829182,1.450893E-01,2.174834E+01,888,2,384,448,2016
1617912418.830103,1.450893E-01,2.174834E+01,888,2,384,448,2016
1617912418.831088,1.351244E-01,2.025463E+01,130,2,384,448,2016
1617912418.831987,1.371971E-01,2.056532E+01,78,2,384,448,2016
1617912418.832918,1.371971E-01,2.056532E+01,78,2,384,448,2016
1617912418.834008,1.010164E+00,1.514198E+02,129,16,384,448,2016
1617912418.835102,1.010164E+00,1.514198E+02,129,16,384,448,2016
1617912418.836354,1.010164E+00,1.514198E+02,129,16,384,448,2016
1617912418.836937,1.010164E+00,1.514198E+02,129,16,384,448,2016
1617912418.837507,1.010164E+00,1.514198E+02,129,16,384,448,2016
1617912418.838138,1.387117E-02,2.079237E+00,36,0,384,448,2016
1617912418.838737,1.387117E-02,2.079237E+00,36,0,384,448,2016
1617912418.839335,1.387117E-02,2.079237E+00,36,0,384,448,2016
1617912418.839906,1.387117E-02,2.079237E+00,36,0,384,448,2016
1617912418.840475,1.387117E-02,2.079237E+00,36,0,384,448,2016
1617912418.841045,1.387117E-02,2.079237E+00,36,0,384,448,2016
1617912418.841610,1.020408E-02,1.529553E+00,128,0,384,448,2016
1617912418.842149,1.020408E-02,1.529553E+00,128,0,384,448,2016
1617912418.842727,1.375159E-02,2.061312E+00,39,0,384,448,2016
1617912418.843341,1.020408E-02,1.529553E+00,0,0,256,448,2016
1617912418.843969,7.653061E-03,1.147165E+00,0,0,192,448,2016
1617912418.844552,1.215721E-02,1.822319E+00,497,0,192,448,2016
1617912418.845110,1.215721E-02,1.822319E+00,497,0,192,448,2016
1617912418.845805,7.653061E-03,1.147165E+00,0,0,192,448,2016
1617912418.846375,7.653061E-03,1.147165E+00,0,0,192,448,2016
1617912418.847109,1.180556E-01,1.769608E+01,153,0,0,231,312
1617912418.847772,1.043297E-03,1.563863E-01,64,0,0,135,3969
1617912418.848340,1.043297E-03,1.563863E-01,64,0,0,135,3969
1617912418.848903,3.129890E-03,4.691588E-01,192,0,0,135,3969
1617912418.849484,3.129890E-03,4.691588E-01,192,0,0,135,3969
1617912418.850054,3.129890E-03,4.691588E-01,192,0,0,135,3969
1617912418.850621,3.129890E-03,4.691588E-01,192,0,0,135,3969
1617912418.851163,3.129890E-03,4.691588E-01,192,0,0,135,3969
1617912418.851712,3.129890E-03,4.691588E-01,192,0,0,135,3969
1617912418.852281,3.129890E-03,4.691588E-01,192,0,0,135,3969
1617912418.852923,0.000000E+00,0.000000E+00,0,0,0,414,910
1617912418.853725,0.000000E+00,0.000000E+00,0,0,0,414,910
1617912418.854573,1.291583E-01,1.936034E+01,1025,0,0,414,910
1617912418.855431,1.291583E-01,1.936034E+01,1025,0,0,414,910
1617912418.855975,1.291583E-01,1.936034E+01,1025,0,0,414,910
1617912418.856650,0.000000E+00,0.000000E+00,0,0,0,414,910
1617912418.857370,2.275706E-01,3.411197E+01,1806,0,0,414,910
1617912418.858012,2.067255E-04,3.098737E-02,0,0,3,3,910
1617912418.858610,2.067255E-04,3.098737E-02,0,0,3,3,910
1617912418.859198,2.067255E-04,3.098737E-02,0,0,3,3,910
1617912418.859814,2.067255E-04,3.098737E-02,0,0,3,3,910
1617912418.860507,2.500000E-01,3.747406E+01,768,0,0,960,768
1617912418.861114,4.296875E-02,6.440854E+00,132,0,0,960,768
1617912418.861768,5.000000E-01,7.494811E+01,1536,0,0,960,768
1617912418.862363,5.000000E-01,7.494811E+01,1536,0,0,960,768
1617912418.862966,5.000000E-01,7.494811E+01,1536,0,0,960,768
1617912418.863528,5.000000E-01,7.494811E+01,1536,0,0,960,768
1617912418.864055,5.000000E-01,7.494811E+01,1536,0,0,960,768
1617912418.864581,5.000000E-01,7.494811E+01,1536,0,0,960,768
1617912418.865380,4.069010E-02,6.099293E+00,3,0,128,960,768
1617912418.865944,4.069010E-02,6.099293E+00,3,0,128,960,768
1617912418.866510,3.776042E-02,5.660144E+00,12,0,128,960,768
1617912418.867117,3.776042E-02,5.660144E+00,12,0,128,960,768
1617912418.867785,3.776042E-02,5.660144E+00,12,0,128,960,768
1617912418.868454,3.776042E-02,5.660144E+00,12,0,128,960,768
1617912418.869213,4.166667E-02,6.245676E+00,256,0,128,960,768
1617912418.869889,4.166667E-02,6.245676E+00,256,0,128,960,768
1617912418.870583,1.003788E-01,1.504640E+01,28,0,240,900,768
