TIMESTAMP (s),TOF (usec),DIST (m),TIME1,CLOCK_COUNT1,TIME2,CAL1,CAL2
1617910128.751644,1.228143E-04,1.840940E+04,790,1965,392,1752,15456
1617910128.752056,1.787799E-09,2.679844E-01,0,0,392,1752,15456
1617910128.752362,1.787799E-09,2.679844E-01,0,0,392,1752,15456
1617910128.752709,7.297140E-11,1.093814E-02,408,0,392,1752,15456
1617910128.753001,7.297140E-11,1.093814E-02,408,0,392,1752,15456
1617910128.753294,7.297140E-11,1.093814E-02,408,0,392,1752,15456
1617910128.753631,1.892878E-07,2.837353E+01,0,3,392,1752,15456
1617910128.753957,1.947607E-07,2.919389E+01,1984,3,392,1752,15456
1617910128.754350,1.842571E-09,2.761944E-01,450,0,0,192,15456
1617910128.754686,0.000000E+00,0.000000E+00,0,0,0,192,15456
1617910128.754974,0.000000E+00,0.000000E+00,0,0,0,192,15456
1617910128.755308,0.000000E+00,0.000000E+00,0,0,0,192,15456
1617910128.755659,2.507984E-07,3.759374E+01,195,4,0,192,15456
1617910128.756607,6.359375E-08,9.532463E+00,3,1,17,0,800
1617910128.756963,7.187500E-08,1.077379E+01,137,1,17,0,800
1617910128.757468,5.301339E-09,7.946508E-01,192,0,135,960,288
1617910128.757844,5.301339E-09,7.946508E-01,192,0,135,960,288
1617910128.758833,2.232143E-08,3.345898E+00,0,0,240,960,288
1617910128.759160,2.232143E-08,3.345898E+00,0,0,240,960,288
1617910128.759463,2.232143E-08,3.345898E+00,0,0,240,960,288
1617910128.759812,1.488095E-09,2.230599E-01,256,0,240,960,288
1617910128.760152,2.232143E-08,3.345898E+00,0,0,240,960,288
1617910128.760504,2.232143E-08,3.345898E+00,0,0,240,960,288
1617910128.760800,2.232143E-08,3.345898E+00,0,0,240,960,288
1617910128.761114,2.232143E-08,3.345898E+00,0,0,240,960,288
1617910128.761406,2.232143E-08,3.345898E+00,0,0,240,960,288
1617910128.761696,2.232143E-08,3.345898E+00,0,0,240,960,288
1617910128.762010,2.232143E-08,3.345898E+00,0,0,240,960,288
1617910128.762302,2.232143E-08,3.345898E+00,0,0,240,960,288
1617910128.762633,1.395089E-09,2.091186E-01,255,0,240,960,288
1617910128.763005,0.000000E+00,0.000000E+00,64,0,0,384,384
1617910128.763293,0.000000E+00,0.000000E+00,64,0,0,384,384
1617910128.763625,0.000000E+00,0.000000E+00,3,0,0,384,384
1617910128.763956,0.000000E+00,0.000000E+00,0,0,0,384,384
1617910128.764282,0.000000E+00,0.000000E+00,0,0,0,384,384
1617910128.767301,0.000000E+00,0.000000E+00,1020,0,0,384,384
1617910128.767620,0.000000E+00,0.000000E+00,1020,0,0,384,384
1617910128.767939,0.000000E+00,0.000000E+00,1020,0,0,384,384
1617910128.768263,0.000000E+00,0.000000E+00,1020,0,0,384,384
1617910128.768608,0.000000E+00,0.000000E+00,963,0,0,384,384
1617910128.769540,0.000000E+00,0.000000E+00,0,0,0,384,384
1617910128.769869,0.000000E+00,0.000000E+00,0,0,0,384,384
1617910128.770255,0.000000E+00,0.000000E+00,6,0,0,384,384
1617910128.770556,0.000000E+00,0.000000E+00,6,0,0,384,384
1617910128.770941,0.000000E+00,0.000000E+00,96,0,258,384,384
1617910128.771276,0.000000E+00,0.000000E+00,0,0,258,384,384
1617910128.771586,0.000000E+00,0.000000E+00,0,0,258,384,384
1617910128.771948,0.000000E+00,0.000000E+00,0,0,258,384,384
1617910128.772258,0.000000E+00,0.000000E+00,0,0,258,384,384
1617910128.772618,0.000000E+00,0.000000E+00,960,0,258,384,384
1617910128.773003,0.000000E+00,0.000000E+00,452,0,240,384,384
1617910128.773307,0.000000E+00,0.000000E+00,452,0,240,384,384
1617910128.773611,0.000000E+00,0.000000E+00,452,0,240,384,384
1617910128.773911,0.000000E+00,0.000000E+00,452,0,240,384,384
1617910128.774241,0.000000E+00,0.000000E+00,384,0,240,384,384
1617910128.774559,0.000000E+00,0.000000E+00,384,0,240,384,384
1617910128.774893,0.000000E+00,0.000000E+00,1100,0,240,384,384
1617910128.775264,0.000000E+00,0.000000E+00,1100,0,240,384,384
1617910128.775643,0.000000E+00,0.000000E+00,256,0,240,384,384
1617910128.775945,0.000000E+00,0.000000E+00,256,0,240,384,384
1617910128.776241,0.000000E+00,0.000000E+00,256,0,240,384,384
1617910128.776538,0.000000E+00,0.000000E+00,256,0,240,384,384
1617910128.776833,0.000000E+00,0.000000E+00,256,0,240,384,384
1617910128.777156,0.000000E+00,0.000000E+00,0,0,240,384,384
1617910128.777507,0.000000E+00,0.000000E+00,0,0,240,384,384
1617910128.777807,0.000000E+00,0.000000E+00,0,0,240,384,384
1617910128.778106,0.000000E+00,0.000000E+00,0,0,240,384,384
1617910128.778404,0.000000E+00,0.000000E+00,0,0,240,384,384
