TIMESTAMP (s),TOF (usec),DIST (m),TIME1,CLOCK_COUNT1,TIME2,CAL1,CAL2
1617912326.114884,8.013766E+02,1.201233E+05,1013,12822,651,1678,15545
1617912326.117631,1.444627E+03,2.165442E+05,1142,23114,612,1689,15489
1617912326.119412,1.321814E+03,1.981350E+05,1074,21149,708,1710,15522
1617912326.120701,9.375012E+02,1.405279E+05,354,15000,628,1717,15491
1617912326.122299,1.247814E+03,1.870425E+05,964,19965,739,1682,15524
1617912326.123217,5.061885E+02,7.587575E+04,1120,8099,896,1769,15479
1617912326.124614,1.063566E+03,1.594245E+05,908,17017,187,1726,15358
1617912326.126565,1.378815E+03,2.066792E+05,141,22061,710,1701,15465
1617912326.129494,2.498439E+03,3.745065E+05,507,39975,246,1735,15434
1617912326.131973,2.062063E+03,3.090955E+05,833,32993,698,1733,15420
1617912326.132563,3.543877E+01,5.312137E+03,941,567,662,1719,15488
1617912326.133184,1.765631E+02,2.646614E+04,878,2825,752,1773,15430
1617912326.134024,4.075006E+02,6.108280E+04,583,6520,455,1740,15425
1617912326.136769,2.316940E+03,3.473006E+05,191,37071,805,1580,15464
1617912326.138630,1.457316E+03,2.184461E+05,1447,23317,717,1698,15501
1617912326.140735,1.693564E+03,2.538588E+05,596,27097,318,1738,15432
1617912326.142631,1.693565E+03,2.538590E+05,813,27097,318,1738,15432
1617912326.143764,8.250356E+00,1.236697E+03,240,132,318,1738,15432
1617912326.145321,8.250301E+00,1.236689E+03,384,132,318,1738,15432
1617912326.145722,8.250301E+00,1.236689E+03,384,132,318,1738,15432
1617912326.146954,2.880002E+02,4.317015E+04,206,4608,256,960,15432
1617912326.147344,2.880002E+02,4.317015E+04,206,4608,256,960,15432
1617912326.147865,2.880002E+02,4.317015E+04,206,4608,256,960,15432
1617912326.148312,2.880010E+02,4.317026E+04,25,4608,256,960,15432
1617912326.149895,1.039753E+03,1.558551E+05,800,16636,3,960,15432
1617912326.150677,1.039757E+03,1.558556E+05,1576,16636,3,960,15432
1617912326.151322,1.039757E+03,1.558556E+05,1576,16636,3,960,15432
1617912326.152844,6.425056E+01,9.630916E+03,132,1028,3,960,15432
1617912326.156620,6.425056E+01,9.630916E+03,132,1028,3,960,15432
1617912326.157129,1.036484E-04,1.553651E-02,128,0,104,960,15432
