TIMESTAMP (s),TOF (usec),DIST (m),TIME1,CLOCK_COUNT1,TIME2,CAL1,CAL2
1617911543.881355,1.775100E+01,2.660807E+03,885,284,664,1701,15580
1617911543.882019,6.206497E+01,9.303305E+03,255,993,804,1680,15574
1617911543.887047,2.782125E+03,4.170301E+05,653,44514,754,1681,15541
1617911543.889799,2.782127E+03,4.170303E+05,1114,44514,754,1681,15541
1617911543.891647,5.119087E+01,7.673319E+03,6,819,754,1681,15541
1617911543.895803,5.118959E+01,7.673127E+03,1218,819,754,1681,15541
1617911543.897604,5.135032E+02,7.697219E+04,50,8216,754,1681,15541
1617911543.901554,1.560008E+02,2.338394E+04,192,2496,0,967,15541
1617911543.904315,1.560008E+02,2.338394E+04,192,2496,0,967,15541
1617911543.908712,1.560008E+02,2.338394E+04,192,2496,0,967,15541
1617911543.914611,1.560008E+02,2.338394E+04,192,2496,0,967,15541
1617911543.920415,1.560008E+02,2.338394E+04,192,2496,0,967,15541
1617911543.923143,1.560000E+02,2.338381E+04,0,2496,0,967,15541
1617911543.928961,1.560000E+02,2.338381E+04,0,2496,0,967,15541
1617911543.931136,1.560016E+02,2.338406E+04,384,2496,0,967,15541
1617911543.933682,1.560016E+02,2.338406E+04,384,2496,0,967,15541
1617911543.939358,1.560016E+02,2.338406E+04,384,2496,0,967,15541
1617911543.944653,1.412524E+01,2.117321E+03,0,226,6,480,2019
1617911543.947143,1.412524E+01,2.117321E+03,0,226,6,480,2019
1617911543.947550,1.412524E+01,2.117321E+03,0,226,6,480,2019
1617911543.949855,1.412524E+01,2.117321E+03,0,226,6,480,2019
1617911543.951696,1.412524E+01,2.117321E+03,0,226,6,480,2019
1617911543.953381,1.413515E+01,2.118806E+03,256,226,6,480,2019
1617911543.953809,1.413515E+01,2.118806E+03,256,226,6,480,2019
1617911543.955066,1.413515E+01,2.118806E+03,256,226,6,480,2019
1617911543.956689,1.413515E+01,2.118806E+03,256,226,6,480,2019
1617911543.957269,1.413012E+01,2.118051E+03,132,226,6,480,2019
1617911543.960286,2.057978E+03,3.084831E+05,992,32927,6,480,2019
1617911543.963763,3.084000E+03,4.622800E+05,0,49344,0,6,2019
1617911543.966146,2.473764E+00,3.708079E+02,1216,39,48,6,2019
1617911543.968564,2.473764E+00,3.708079E+02,1216,39,48,6,2019
1617911543.969247,2.473764E+00,3.708079E+02,1216,39,48,6,2019
1617911543.970814,2.473764E+00,3.708079E+02,1216,39,48,6,2019
1617911543.974113,2.473764E+00,3.708079E+02,1216,39,48,6,2019
1617911543.976224,2.473764E+00,3.708079E+02,1216,39,48,6,2019
1617911543.977278,2.442964E+00,3.661912E+02,224,39,48,6,2019
1617911543.979079,2.438990E+00,3.655955E+02,0,39,48,6,2019
1617911543.979612,2.438990E+00,3.655955E+02,0,39,48,6,2019
1617911543.982970,6.200149E+01,9.293790E+03,0,992,48,6,2019
1617911543.983404,6.201043E+01,9.295130E+03,384,992,48,6,2019
1617911543.984708,6.201043E+01,9.295130E+03,384,992,48,6,2019
1617911543.986824,6.201043E+01,9.295130E+03,384,992,48,6,2019
1617911543.987740,6.200149E+01,9.293790E+03,0,992,48,6,2019
1617911543.989847,7.287640E+01,1.092390E+04,3,1166,48,6,2019
1617911543.992710,7.288152E+01,1.092467E+04,258,1166,48,6,2019
1617911543.993751,7.288152E+01,1.092467E+04,258,1166,48,6,2019
1617911543.995070,7.288152E+01,1.092467E+04,258,1166,48,6,2019
1617911543.995924,7.290387E+01,1.092802E+04,978,1166,48,6,2019
1617911543.996660,7.290387E+01,1.092802E+04,978,1166,48,6,2019
1617911543.997609,2.675625E+02,4.010661E+04,448,4272,16,0,48
1617911543.998108,2.675625E+02,4.010661E+04,448,4272,16,0,48
1617911544.003230,2.675625E+02,4.010661E+04,448,4272,16,0,48
1617911544.003834,2.670195E+02,4.002522E+04,1,4272,16,0,48
1617911544.004428,2.675716E+02,4.010798E+04,455,4272,16,0,48
1617911544.005493,2.675716E+02,4.010798E+04,455,4272,16,0,48
1617911544.007292,2.675716E+02,4.010798E+04,455,4272,16,0,48
